show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
8802,Movie,Zinzana,Majid Al Ansari,Ali Suliman; Saleh Bakri; Yasa; Ali Al-Jabri; Mansoor Alfeeli; Ahd,United Arab Emirates; Jordan,March 9 2016,2015,TV-MA,96 min,Dramas; International Movies; Thrillers,Recovering alcoholic Talal wakes up inside a small-town police station cell where he's subject to the mind games of a psychotic sadist.
8803,Movie,Zodiac,David Fincher,Mark Ruffalo; Jake Gyllenhaal; Robert Downey Jr.; Anthony Edwards; Brian Cox; Elias Koteas; Donal Logue; John Carroll Lynch; Dermot Mulroney; Chloë Sevigny,United States,November 20 2019,2007,R,158 min,Cult Movies; Dramas; Thrillers,A political cartoonist a crime reporter and a pair of cops investigate San Francisco's infamous Zodiac Killer in this thriller based on a true story.
8804,TV Show,Zombie Dumb,,,,July 1 2019,2018,TV-Y7,2 Seasons,Kids' TV; Korean TV Shows; TV Comedies,While living alone in a spooky town a young girl befriends a motley crew of zombie children with diverse personalities.
8805,Movie,Zombieland,Ruben Fleischer,Jesse Eisenberg; Woody Harrelson; Emma Stone; Abigail Breslin; Amber Heard; Bill Murray; Derek Graf,United States,November 1 2019,2009,R,88 min,Comedies; Horror Movies,Looking to survive in a world taken over by zombies a dorky college student teams with an urban roughneck and a pair of grifter sisters.
8806,Movie,Zoom,Peter Hewitt,Tim Allen; Courteney Cox; Chevy Chase; Kate Mara; Ryan Newman; Michael Cassidy; Spencer Breslin; Rip Torn; Kevin Zegers,United States,January 11 2020,2006,PG,88 min,Children & Family Movies; Comedies,Dragged from civilian life a former superhero must train a new crop of youthful saviors when the military preps for an attack by a familiar villain.
8807,Movie,Zubaan,Mozez Singh,Vicky Kaushal; Sarah-Jane Dias; Raaghav Chanana; Manish Chaudhary; Meghna Malik; Malkeet Rauni; Anita Shabdish; Chittaranjan Tripathy,India,March 2 2019,2015,TV-14,111 min,Dramas; International Movies; Music & Musicals,A scrappy but poor boy worms his way into a tycoon's dysfunctional family while facing his fear of music and the truth about his past.
